Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
212.51,6.6414e+05,273.14,5.7901e+06,250.34,1.949e+06,303.25,2.7472e+06,292.1,2.4423e+05,311.65,1.1973e+06
211.81,6.7123e+05,272.83,5.8989e+06,249.82,1.9785e+06,303.01,2.796e+06,291.3,2.4704e+05,311.08,1.2161e+06
211.1,6.7839e+05,272.52,6.0103e+06,249.31,2.0082e+06,302.76,2.8454e+06,290.5,2.4986e+05,310.51,1.2352e+06
210.4,6.8562e+05,272.2,6.1243e+06,248.79,2.0383e+06,302.52,2.8954e+06,289.7,2.5271e+05,309.94,1.2544e+06
209.69,6.9292e+05,271.89,6.2411e+06,248.28,2.0687e+06,302.29,2.9459e+06,288.91,2.5557e+05,309.38,1.2739e+06
208.99,7.0029e+05,271.59,6.3606e+06,247.77,2.0995e+06,302.05,2.997e+06,288.12,2.5845e+05,308.81,1.2935e+06
208.28,7.0772e+05,271.28,6.4831e+06,247.26,2.1306e+06,301.81,3.0486e+06,287.32,2.6135e+05,308.25,1.3134e+06
207.58,7.1522e+05,270.97,6.6082e+06,246.75,2.162e+06,301.57,3.1008e+06,286.53,2.6426e+05,307.69,1.3334e+06
206.88,7.2279e+05,270.67,6.735e+06,246.25,2.1938e+06,301.34,3.1536e+06,285.74,2.6719e+05,307.13,1.3536e+06
206.17,7.3043e+05,270.37,6.8634e+06,245.74,2.2259e+06,301.1,3.2069e+06,284.96,2.7014e+05,306.57,1.374e+06
205.47,7.3814e+05,270.06,6.9933e+06,245.23,2.2583e+06,300.87,3.2607e+06,284.17,2.731e+05,306.02,1.3946e+06
204.76,7.4592e+05,269.76,7.1247e+06,244.73,2.2911e+06,300.64,3.3151e+06,283.39,2.7608e+05,305.46,1.4153e+06
204.06,7.5377e+05,269.46,7.2576e+06,244.23,2.3242e+06,300.41,3.3699e+06,282.6,2.7907e+05,304.91,1.4362e+06
203.36,7.6169e+05,269.17,7.392e+06,243.72,2.3576e+06,300.17,3.4253e+06,281.82,2.8208e+05,304.36,1.4573e+06
202.65,7.6969e+05,268.87,7.5279e+06,243.22,2.3914e+06,299.94,3.4812e+06,281.04,2.851e+05,303.81,1.4786e+06
201.95,7.7776e+05,268.57,7.6652e+06,242.72,2.4255e+06,299.71,3.5376e+06,280.26,2.8814e+05,303.26,1.5e+06
201.25,7.8589e+05,268.28,7.8039e+06,242.22,2.4599e+06,299.48,3.5945e+06,279.48,2.9119e+05,302.71,1.5216e+06
200.54,7.9411e+05,267.98,7.944e+06,241.72,2.4947e+06,299.26,3.6518e+06,278.7,2.9426e+05,302.17,1.5434e+06
199.84,8.0239e+05,267.69,8.0854e+06,241.22,2.5298e+06,299.03,3.7096e+06,277.92,2.9734e+05,301.62,1.5653e+06
199.13,8.1075e+05,267.4,8.2282e+06,240.72,2.5652e+06,298.8,3.7679e+06,277.15,3.0043e+05,301.08,1.5874e+06
198.43,8.1919e+05,267.11,8.3722e+06,240.22,2.601e+06,298.57,3.8265e+06,276.37,3.0353e+05,300.53,1.6096e+06
197.73,8.277e+05,266.82,8.5175e+06,239.72,2.6371e+06,298.35,3.8857e+06,275.6,3.0665e+05,299.99,1.632e+06
197.02,8.3628e+05,266.53,8.6641e+06,239.22,2.6735e+06,298.12,3.9452e+06,274.82,3.0978e+05,299.45,1.6545e+06
196.32,8.4494e+05,266.24,8.8118e+06,238.72,2.7103e+06,297.9,4.0051e+06,274.05,3.1292e+05,298.91,1.6771e+06
195.62,8.5368e+05,265.95,8.9607e+06,238.23,2.7474e+06,297.67,4.0655e+06,273.28,3.1607e+05,298.37,1.6999e+06
194.91,8.6249e+05,265.66,9.1106e+06,237.73,2.7848e+06,297.45,4.1262e+06,272.51,3.1923e+05,297.83,1.7228e+06
194.21,8.7138e+05,265.37,9.2617e+06,237.24,2.8226e+06,297.22,4.1872e+06,271.73,3.224e+05,297.3,1.7459e+06
193.51,8.8034e+05,265.08,9.4138e+06,236.74,2.8606e+06,297,4.2486e+06,270.96,3.2558e+05,296.76,1.7691e+06
192.8,8.8939e+05,264.8,9.5669e+06,236.24,2.899e+06,296.77,4.3104e+06,270.19,3.2877e+05,296.22,1.7924e+06
192.1,8.9851e+05,264.51,9.7209e+06,235.75,2.9377e+06,296.55,4.3725e+06,269.42,3.3197e+05,295.68,1.8158e+06
191.4,9.0771e+05,264.23,9.8759e+06,235.25,2.9768e+06,296.33,4.4348e+06,268.65,3.3517e+05,295.15,1.8393e+06
190.69,9.1699e+05,263.94,1.0032e+07,234.76,3.0161e+06,296.1,4.4975e+06,267.88,3.3839e+05,294.61,1.8629e+06
189.99,9.2635e+05,263.66,1.0188e+07,234.27,3.0558e+06,295.88,4.5605e+06,267.11,3.4161e+05,294.08,1.8866e+06
189.29,9.3579e+05,263.37,1.0346e+07,233.77,3.0957e+06,295.66,4.6237e+06,266.35,3.4484e+05,293.54,1.9105e+06
188.59,9.4531e+05,263.09,1.0504e+07,233.28,3.136e+06,295.44,4.6871e+06,265.58,3.4807e+05,293.01,1.9344e+06
187.88,9.5491e+05,262.8,1.0663e+07,232.78,3.1766e+06,295.21,4.7508e+06,264.81,3.5131e+05,292.47,1.9584e+06
187.18,9.6459e+05,262.52,1.0822e+07,232.29,3.2175e+06,294.99,4.8147e+06,264.04,3.5456e+05,291.94,1.9825e+06
186.48,9.7435e+05,262.23,1.0983e+07,231.79,3.2588e+06,294.77,4.8788e+06,263.27,3.5781e+05,291.4,2.0067e+06
